ID;Funcionário_deixou_a_empresa;Idade;Frequência de Viagens;Distância_do_trabalho;Formação;E-Sat;Gênero;Estado_Civil;Salário;Qte_Empresas_Trabalhadas;Faz_hora_extras?;Perc_de_aumento;Qte_ações_da_empresa;Tempo_de_carreira;Horas_de_treinamento;Equilibrio_de_Vida;Tempo_de_empresa;Anos_no_mesmo_cargo;Anos_desde_a_ultima_promocao;Anos_com_o_mesmo_chefe
204;Não;40;Viaja raramente;19;Ensino Técnico;Alto;H;Casado;2741;8;Sim;15;1;15;2;Excelente;7;2;3;7
205;Sim;38;Viaja raramente;29;Ensino Médio;Médio;H;Casado;6673;7;Sim;19;0;17;2;Muito bom;1;0;0;0
206;Sim;29;Viaja raramente;27;Ensino Superior;Médio;M;Casado;7639;1;Não;22;3;10;3;Bom;10;4;1;9
207;Não;22;Viaja raramente;5;Ensino Superior;Muito Alto;H;Divorciado;2328;1;Sim;16;1;4;2;Bom;4;2;2;2
208;Não;36;Viaja frequentemente;18;Ensino Médio;Médio;M;Solteiro;2153;1;Não;13;0;8;2;Muito bom;8;1;1;7
209;Não;40;Não viaja;9;Doutorado;Muito Alto;H;Casado;4876;9;Não;14;1;5;5;Ruim;3;2;0;2
210;Não;46;Viaja raramente;1;Mestrado;Muito Alto;H;Divorciado;9396;7;Não;16;1;17;3;Muito bom;4;2;0;3
211;Sim;32;Viaja raramente;4;Mestrado;Muito Alto;H;Casado;10400;1;Não;11;0;14;2;Bom;14;8;9;8
212;Não;30;Não viaja;1;Ensino Médio;Alto;H;Solteiro;8474;1;Não;22;0;12;2;Muito bom;11;8;5;8
213;Não;27;Viaja frequentemente;20;Ensino Superior;Muito Alto;M;Solteiro;9981;1;Não;14;0;7;2;Muito bom;7;7;0;7
214;Não;51;Viaja raramente;8;Mestrado;Médio;H;Casado;12490;5;Não;16;2;16;5;Ruim;10;9;4;7
215;Sim;30;Viaja raramente;3;Ensino Superior;Muito Alto;M;Solteiro;2657;5;Sim;11;0;8;5;Muito bom;5;2;0;4
216;Não;41;Viaja raramente;6;Ensino Superior;Muito Alto;M;Solteiro;13591;3;Sim;18;0;16;3;Muito bom;1;0;0;0
217;Sim;30;Viaja frequentemente;26;Mestrado;Alto;M;Solteiro;6696;5;Não;15;0;9;5;Bom;6;3;0;1
218;Sim;29;Viaja raramente;1;Ensino Superior;Alto;H;Solteiro;2058;0;Não;14;0;7;1;Bom;6;2;1;5
219;Não;45;Não viaja;6;Ensino Superior;Muito Alto;M;Solteiro;8865;6;Não;12;0;23;2;Muito bom;19;7;12;8
220;Não;54;Viaja raramente;3;Ensino Superior;Muito Alto;M;Casado;5940;2;Não;14;1;16;4;Muito bom;6;2;0;5
221;Não;36;Viaja raramente;5;Ensino Técnico;Muito Alto;H;Solteiro;5914;8;Não;16;0;16;3;Excelente;13;11;3;7
222;Não;33;Viaja raramente;4;Mestrado;Alto;M;Casado;2622;6;Não;21;0;7;3;Muito bom;3;2;1;1
223;Não;37;Viaja frequentemente;11;Ensino Superior;Médio;H;Divorciado;12185;1;Sim;14;3;10;1;Muito bom;10;8;0;7
224;Não;38;Viaja raramente;3;Ensino Superior;Baixo;H;Divorciado;10609;0;Não;12;2;17;6;Bom;16;10;5;13
225;Não;31;Não viaja;1;Mestrado;Alto;H;Casado;4345;0;Não;12;1;6;2;Muito bom;5;4;1;4
226;Não;59;Viaja raramente;3;Ensino Superior;Alto;H;Casado;2177;3;Não;17;1;7;6;Muito bom;1;0;0;0
227;Não;37;Viaja frequentemente;4;Mestrado;Baixo;H;Divorciado;2793;4;Não;17;1;13;2;Muito bom;9;8;5;8
228;Não;29;Viaja frequentemente;1;Ensino Médio;Médio;M;Casado;7918;1;Não;14;1;11;5;Muito bom;11;10;4;1
229;Não;35;Viaja frequentemente;1;Ensino Superior;Alto;M;Solteiro;8789;1;Não;14;0;10;3;Excelente;10;7;0;8
230;Sim;29;Viaja raramente;18;Ensino Médio;Alto;H;Solteiro;2389;1;Sim;13;0;4;3;Bom;4;3;0;1
231;Não;52;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;3212;7;Não;15;0;6;3;Bom;2;2;2;2
232;Não;42;Viaja raramente;4;Ensino Técnico;Alto;H;Casado;19232;1;Não;11;0;22;3;Muito bom;22;17;11;15
233;Não;59;Viaja raramente;6;Ensino Técnico;Médio;H;Casado;2267;8;Não;17;0;7;2;Bom;2;2;2;2
234;Não;50;Viaja raramente;1;Mestrado;Muito Alto;M;Divorciado;19517;3;Não;11;1;32;3;Bom;7;0;0;6
235;Sim;33;Viaja raramente;14;Ensino Superior;Alto;H;Casado;2436;5;Sim;13;1;8;2;Ruim;5;4;0;4
236;Não;43;Viaja raramente;16;Ensino Superior;Muito Alto;M;Casado;16064;5;Sim;22;1;22;3;Muito bom;17;13;1;9
237;Sim;33;Viaja raramente;2;Ensino Técnico;Baixo;M;Casado;2707;7;Não;20;0;13;3;Excelente;9;7;1;7
238;Não;52;Não viaja;2;Mestrado;Baixo;H;Solteiro;19068;1;Sim;18;0;33;2;Excelente;33;7;15;12
239;Não;32;Viaja raramente;4;Ensino Técnico;Alto;M;Casado;3931;2;Não;11;1;6;5;Muito bom;4;3;1;2
240;Sim;32;Viaja raramente;1;Ensino Superior;Muito Alto;H;Solteiro;3730;0;Sim;14;0;4;2;Ruim;3;2;1;2
241;Não;39;Viaja raramente;1;Mestrado;Alto;M;Divorciado;2232;7;Não;14;3;7;1;Muito bom;3;2;1;2
242;Não;32;Não viaja;26;Mestrado;Alto;H;Casado;4465;0;Não;18;0;4;2;Muito bom;3;2;2;2
243;Não;41;Viaja raramente;19;Ensino Técnico;Alto;H;Divorciado;3072;2;Não;16;2;17;2;Bom;1;0;0;0
244;Não;40;Viaja raramente;24;Ensino Técnico;Baixo;H;Divorciado;3319;1;Não;17;2;9;3;Muito bom;9;8;4;7
245;Não;45;Viaja raramente;1;Ensino Superior;Alto;H;Casado;19202;0;Não;11;1;25;2;Muito bom;24;0;1;7
246;Não;31;Viaja frequentemente;3;Mestrado;Médio;H;Divorciado;13675;9;Não;12;1;9;3;Muito bom;2;2;2;2
247;Não;33;Viaja raramente;5;Mestrado;Alto;M;Casado;2911;1;Não;13;1;2;2;Bom;2;2;0;2
248;Não;34;Viaja raramente;2;Mestrado;Muito Alto;H;Casado;5957;6;Não;13;1;13;3;Muito bom;11;9;5;9
249;Não;37;Viaja raramente;1;Ensino Técnico;Alto;M;Casado;3920;2;Não;14;1;17;2;Bom;3;1;0;2
250;Não;45;Viaja frequentemente;7;Mestrado;Baixo;H;Casado;6434;4;Não;17;1;9;1;Muito bom;3;2;0;2
251;Sim;37;Viaja frequentemente;10;Ensino Superior;Baixo;H;Divorciado;10048;6;Não;11;2;17;5;Muito bom;1;0;0;0
252;Não;39;Viaja frequentemente;2;Mestrado;Alto;M;Solteiro;10938;0;Não;25;0;20;1;Muito bom;19;6;11;8
253;Não;29;Viaja raramente;15;Ensino Superior;Alto;H;Solteiro;2340;1;Não;19;0;6;1;Muito bom;6;5;1;5
254;Não;42;Viaja raramente;17;Ensino Técnico;Muito Alto;M;Solteiro;6545;3;Sim;13;0;10;1;Muito bom;3;2;0;2
255;Não;29;Viaja raramente;20;Ensino Técnico;Muito Alto;H;Divorciado;6931;2;Não;14;1;10;2;Muito bom;3;2;0;2
256;Não;25;Viaja raramente;1;Ensino Superior;Baixo;M;Casado;4898;0;Não;12;2;5;3;Muito bom;4;2;1;2
257;Não;42;Viaja raramente;2;Ensino Superior;Muito Alto;M;Divorciado;2593;0;Sim;11;1;10;4;Muito bom;9;6;7;8
258;Não;40;Viaja raramente;2;Ensino Técnico;Baixo;H;Divorciado;19436;0;Não;19;1;22;5;Muito bom;21;7;3;9
259;Não;51;Viaja raramente;1;Ensino Superior;Alto;H;Casado;2723;1;Não;11;0;1;0;Bom;1;0;0;0
260;Sim;31;Viaja frequentemente;29;Ensino Técnico;Alto;H;Solteiro;3479;0;Não;11;0;6;2;Excelente;5;4;1;4
261;Não;32;Viaja frequentemente;7;Ensino Superior;Médio;H;Casado;2794;1;Não;20;0;5;3;Ruim;5;1;0;3
262;Não;38;Não viaja;2;Ensino Técnico;Muito Alto;H;Casado;5249;3;Não;18;1;13;0;Muito bom;8;7;7;5
263;Não;32;Viaja raramente;2;Ensino Médio;Muito Alto;H;Solteiro;2176;4;Não;13;0;9;5;Muito bom;6;2;0;4
264;Não;46;Viaja raramente;2;Ensino Superior;Alto;M;Casado;16872;3;Sim;12;1;28;2;Bom;7;7;7;7
265;Sim;28;Viaja raramente;2;Mestrado;Baixo;H;Solteiro;3485;2;Não;11;0;5;5;Ruim;0;0;0;0
266;Não;29;Viaja raramente;2;Ensino Superior;Baixo;H;Casado;6644;2;Não;19;2;10;2;Muito bom;0;0;0;0
267;Não;31;Viaja raramente;23;Ensino Superior;Médio;H;Casado;5582;0;Não;21;1;10;2;Muito bom;9;0;7;8
268;Não;25;Não viaja;5;Ensino Técnico;Médio;H;Divorciado;4000;1;Não;12;2;6;2;Muito bom;6;3;1;5
269;Não;45;Viaja raramente;20;Ensino Técnico;Alto;H;Casado;13496;0;Sim;14;0;21;2;Muito bom;20;7;4;10
270;Não;36;Viaja raramente;6;Ensino Superior;Muito Alto;H;Casado;3210;0;Não;11;1;16;4;Muito bom;15;13;10;11
271;Não;55;Viaja raramente;1;Ensino Superior;Muito Alto;H;Solteiro;19045;0;Sim;14;0;37;2;Muito bom;36;10;4;13
272;Sim;47;Não viaja;29;Mestrado;Baixo;H;Casado;11849;1;Sim;12;1;10;2;Bom;10;7;9;9
273;Não;28;Viaja raramente;9;Ensino Superior;Muito Alto;H;Casado;2070;1;Não;23;1;5;3;Bom;5;2;0;4
274;Não;37;Viaja raramente;6;Mestrado;Alto;H;Casado;6502;4;Não;14;1;7;5;Excelente;5;4;0;1
275;Não;21;Viaja raramente;3;Ensino Técnico;Muito Alto;H;Solteiro;3230;1;Não;17;0;3;4;Excelente;3;2;1;0
276;Não;37;Não viaja;1;Mestrado;Baixo;M;Divorciado;13603;2;Sim;18;2;15;2;Muito bom;5;2;0;2
277;Não;35;Viaja raramente;22;Ensino Superior;Médio;M;Divorciado;11996;7;Não;18;1;10;6;Bom;7;7;6;2
278;Não;38;Viaja raramente;7;Ensino Técnico;Baixo;M;Divorciado;5605;1;Sim;24;1;8;3;Muito bom;8;0;7;7
279;Não;26;Viaja frequentemente;1;Ensino Superior;Alto;M;Divorciado;6397;1;Não;20;1;6;6;Ruim;6;5;1;4
280;Não;50;Viaja raramente;4;Ensino Médio;Baixo;H;Divorciado;19144;3;Não;14;2;28;4;Bom;10;4;1;6
281;Não;53;Viaja raramente;3;Mestrado;Alto;H;Casado;17584;3;Sim;16;3;21;5;Bom;5;3;1;3
282;Não;42;Viaja raramente;1;Ensino Médio;Médio;H;Casado;4907;1;Não;25;0;20;3;Muito bom;20;16;11;6
283;Não;29;Viaja frequentemente;2;Ensino Técnico;Médio;H;Solteiro;4554;1;Não;18;0;10;3;Bom;10;7;0;9
284;Não;55;Viaja raramente;20;Ensino Técnico;Médio;H;Casado;5415;3;Sim;19;1;12;4;Muito bom;10;7;0;8
285;Não;26;Viaja frequentemente;11;Ensino Técnico;Baixo;H;Casado;4741;1;Sim;13;1;5;3;Muito bom;5;3;3;3
286;Não;37;Viaja raramente;1;Ensino Superior;Muito Alto;M;Solteiro;2115;1;Não;12;0;17;3;Muito bom;17;12;5;7
287;Sim;44;Viaja frequentemente;24;Ensino Superior;Muito Alto;H;Divorciado;3161;3;Sim;22;1;19;0;Ruim;1;0;0;0
288;Não;38;Viaja raramente;23;Mestrado;Muito Alto;H;Divorciado;5745;9;Não;14;1;10;2;Muito bom;2;2;1;2
289;Sim;26;Viaja raramente;16;Mestrado;Baixo;H;Divorciado;2373;2;Sim;13;1;5;2;Muito bom;3;2;0;2
290;Não;28;Viaja raramente;8;Ensino Técnico;Muito Alto;M;Solteiro;3310;1;Não;21;0;5;3;Muito bom;5;3;0;2
291;Não;49;Viaja frequentemente;10;Mestrado;Alto;M;Solteiro;18665;9;Sim;11;0;22;4;Muito bom;3;2;1;2
292;Não;36;Viaja raramente;3;Ensino Superior;Alto;H;Solteiro;4485;4;Não;12;0;10;2;Muito bom;8;0;7;7
293;Não;31;Viaja frequentemente;5;Ensino Superior;Muito Alto;M;Divorciado;2789;1;Não;11;1;2;5;Bom;2;2;2;2
294;Sim;26;Viaja raramente;4;Mestrado;Muito Alto;H;Solteiro;5828;1;Sim;12;0;8;0;Muito bom;8;7;7;4
295;Não;37;Viaja frequentemente;9;Ensino Superior;Médio;H;Casado;2326;1;Sim;12;3;4;3;Bom;4;2;1;2
296;Não;42;Viaja frequentemente;26;Ensino Superior;Alto;M;Casado;13525;5;Não;14;1;23;2;Excelente;20;4;4;8
297;Sim;18;Viaja raramente;3;Ensino Superior;Alto;H;Solteiro;1420;1;Não;13;0;0;2;Muito bom;0;0;0;0
298;Não;35;Viaja raramente;16;Ensino Superior;Alto;H;Casado;8020;0;Não;15;2;12;3;Bom;11;9;6;9
299;Não;36;Viaja frequentemente;18;Mestrado;Alto;H;Casado;3688;4;Não;18;2;4;2;Muito bom;1;0;0;0
300;Não;51;Viaja raramente;2;Ensino Superior;Muito Alto;H;Divorciado;5482;5;Não;18;1;13;3;Muito bom;4;1;1;2
301;Não;41;Viaja raramente;2;Mestrado;Muito Alto;H;Solteiro;16015;1;Não;19;0;22;2;Muito bom;22;10;0;4
302;Não;18;Viaja raramente;10;Ensino Superior;Muito Alto;M;Solteiro;1200;1;Não;12;0;0;2;Muito bom;0;0;0;0
303;Não;28;Viaja raramente;16;Ensino Técnico;Médio;H;Solteiro;5661;0;Não;19;0;9;2;Muito bom;8;3;0;7
304;Não;31;Viaja raramente;7;Ensino Superior;Médio;H;Casado;6929;4;Não;11;1;10;3;Bom;8;7;7;7
305;Não;39;Viaja raramente;1;Ensino Superior;Alto;H;Divorciado;9613;0;Não;17;3;19;5;Bom;18;10;3;7
306;Não;36;Não viaja;24;Mestrado;Médio;M;Casado;5674;7;Não;15;1;11;3;Muito bom;9;8;0;8
307;Não;32;Viaja raramente;7;Ensino Superior;Muito Alto;H;Casado;5484;1;Não;14;1;13;3;Bom;13;8;4;8
308;Não;38;Viaja raramente;25;Ensino Técnico;Baixo;M;Casado;12061;3;Não;17;1;19;2;Muito bom;10;8;0;1
309;Não;58;Não viaja;1;Mestrado;Muito Alto;H;Divorciado;5660;2;Sim;13;1;12;2;Muito bom;5;3;1;2
310;Não;31;Viaja raramente;5;Mestrado;Alto;H;Casado;4821;0;Sim;12;1;6;4;Muito bom;5;2;0;3
311;Não;31;Viaja raramente;2;Ensino Superior;Baixo;H;Casado;6410;3;Não;12;0;9;1;Muito bom;2;2;1;0
312;Não;45;Viaja frequentemente;7;Ensino Superior;Baixo;H;Divorciado;5210;1;Não;18;1;24;2;Muito bom;24;9;9;11
313;Não;31;Viaja raramente;2;Mestrado;Alto;H;Divorciado;2695;0;Sim;18;1;3;2;Ruim;2;2;2;2
314;Não;33;Viaja frequentemente;5;Mestrado;Muito Alto;M;Casado;11878;6;Não;11;2;12;2;Muito bom;10;6;8;8
315;Não;39;Viaja raramente;10;Ensino Médio;Alto;H;Casado;17068;1;Sim;14;0;21;3;Muito bom;21;9;11;10
316;Não;43;Viaja frequentemente;10;Mestrado;Alto;M;Solteiro;2455;0;Não;19;0;9;5;Muito bom;8;7;1;7
317;Não;49;Viaja raramente;1;Ensino Técnico;Alto;M;Solteiro;13964;7;Sim;12;0;25;2;Muito bom;7;1;0;7
318;Sim;52;Viaja raramente;8;Mestrado;Alto;H;Casado;4941;2;Não;15;0;11;3;Bom;8;2;7;7
319;Não;27;Viaja raramente;5;Ensino Superior;Alto;M;Solteiro;2478;1;Sim;12;0;4;2;Bom;4;3;1;2
320;Não;32;Viaja raramente;8;Ensino Técnico;Alto;M;Casado;5228;1;Sim;11;0;13;2;Muito bom;13;12;11;9
321;Não;27;Viaja raramente;2;Ensino Superior;Muito Alto;H;Solteiro;4478;1;Sim;11;0;5;3;Muito bom;5;4;0;4
322;Não;31;Viaja raramente;7;Ensino Superior;Muito Alto;H;Divorciado;7547;4;Não;12;3;13;3;Muito bom;7;7;1;7
323;Não;32;Viaja raramente;2;Mestrado;Baixo;M;Solteiro;5055;7;Não;16;0;10;0;Bom;7;7;0;7
324;Sim;28;Viaja raramente;2;Mestrado;Baixo;H;Casado;3464;5;Sim;13;0;5;4;Bom;3;2;2;2
325;Não;30;Viaja raramente;28;Ensino Técnico;Muito Alto;M;Casado;5775;1;Não;13;2;11;2;Muito bom;10;8;1;9
326;Não;31;Viaja frequentemente;7;Ensino Técnico;Alto;M;Casado;8943;1;Não;24;1;10;2;Muito bom;10;9;8;9
327;Não;39;Viaja frequentemente;7;Ensino Técnico;Alto;H;Casado;19272;1;Não;15;1;21;2;Muito bom;21;9;13;3
328;Sim;39;Viaja raramente;3;Ensino Técnico;Muito Alto;M;Casado;5238;4;Sim;18;0;12;3;Bom;1;0;0;0
329;Não;33;Viaja frequentemente;10;Ensino Superior;Médio;H;Solteiro;4682;3;Não;14;0;9;6;Bom;7;7;0;1
330;Não;47;Viaja raramente;5;Doutorado;Muito Alto;H;Casado;18300;4;Não;11;1;21;2;Muito bom;3;2;1;1
331;Não;43;Viaja frequentemente;10;Mestrado;Alto;M;Divorciado;5257;1;Não;11;1;9;3;Excelente;9;7;0;0
332;Não;27;Não viaja;1;Ensino Médio;Alto;H;Casado;6349;0;Sim;13;1;6;0;Muito bom;5;4;1;4
333;Não;54;Viaja frequentemente;20;Mestrado;Muito Alto;M;Solteiro;4869;3;Não;12;0;20;4;Bom;4;3;0;3
334;Não;43;Viaja raramente;7;Ensino Superior;Alto;M;Casado;9985;8;Não;16;1;10;1;Bom;1;0;0;0
335;Não;45;Viaja raramente;8;Mestrado;Muito Alto;H;Casado;3697;9;Não;14;2;12;3;Muito bom;10;9;9;8
336;Não;40;Viaja raramente;1;Ensino Técnico;Médio;H;Casado;7457;2;Sim;22;3;6;2;Bom;4;3;0;2
337;Sim;29;Viaja raramente;8;Mestrado;Médio;H;Casado;2119;1;Sim;11;0;7;4;Bom;7;7;0;7
338;Não;29;Viaja raramente;9;Doutorado;Médio;H;Solteiro;3983;0;Não;17;0;4;2;Muito bom;3;2;2;2
339;Não;30;Viaja raramente;5;Ensino Superior;Muito Alto;M;Divorciado;6118;1;Não;13;3;10;2;Muito bom;10;9;1;2
340;Não;27;Viaja raramente;8;Mestrado;Médio;M;Casado;6214;1;Não;18;1;8;3;Muito bom;8;7;0;7
341;Não;37;Viaja raramente;5;Ensino Técnico;Muito Alto;H;Divorciado;6347;7;Não;16;2;8;2;Bom;6;2;0;4
342;Não;38;Viaja raramente;15;Ensino Técnico;Alto;H;Divorciado;11510;0;Sim;14;1;12;3;Muito bom;11;10;2;9
343;Não;31;Viaja raramente;7;Mestrado;Alto;M;Solteiro;7143;1;Sim;14;0;11;2;Bom;11;9;4;10
344;Não;29;Viaja raramente;10;Ensino Médio;Muito Alto;M;Divorciado;8268;1;Sim;14;2;7;2;Muito bom;7;7;1;7
345;Não;35;Viaja raramente;5;Mestrado;Alto;H;Solteiro;8095;0;Não;13;0;17;5;Muito bom;16;6;0;13
346;Não;23;Viaja raramente;26;Ensino Médio;Alto;H;Divorciado;2904;1;Não;12;2;4;2;Bom;4;2;0;2
347;Não;41;Viaja raramente;6;Ensino Superior;Muito Alto;H;Solteiro;6032;6;Sim;15;0;8;3;Muito bom;5;4;1;2
348;Não;47;Viaja frequentemente;4;Ensino Médio;Médio;H;Solteiro;2976;3;Não;19;0;5;3;Muito bom;0;0;0;0
349;Não;42;Viaja raramente;23;Doutorado;Baixo;M;Solteiro;15992;2;Não;14;0;16;2;Muito bom;1;0;0;0
350;Não;29;Não viaja;2;Ensino Superior;Muito Alto;H;Casado;4649;1;Não;14;1;4;3;Bom;4;3;0;2
351;Não;42;Viaja raramente;2;Ensino Médio;Alto;H;Divorciado;2696;0;Sim;11;1;4;5;Muito bom;3;2;1;0
352;Não;32;Viaja raramente;2;Ensino Superior;Alto;M;Casado;2370;1;Não;13;1;8;4;Muito bom;8;0;0;7
353;Não;48;Viaja raramente;29;Ensino Médio;Baixo;M;Casado;12504;3;Não;21;1;15;3;Ruim;0;0;0;0
354;Não;37;Viaja raramente;6;Ensino Superior;Alto;H;Divorciado;5974;4;Sim;13;2;13;2;Muito bom;7;7;6;7
355;Não;30;Não viaja;25;Ensino Técnico;Muito Alto;M;Casado;4736;7;Sim;12;1;4;2;Excelente;2;2;2;2
356;Não;26;Viaja raramente;1;Ensino Superior;Alto;H;Casado;5296;1;Não;17;1;8;3;Muito bom;8;7;7;7
357;Não;42;Viaja raramente;2;Mestrado;Baixo;H;Solteiro;6781;3;Não;23;0;14;6;Muito bom;1;0;0;0
358;Sim;21;Viaja frequentemente;1;Ensino Médio;Baixo;M;Solteiro;2174;1;Sim;11;0;3;3;Muito bom;3;2;1;2
359;Não;36;Não viaja;1;Doutorado;Muito Alto;M;Solteiro;6653;4;Não;15;0;7;6;Muito bom;1;0;0;0
360;Não;36;Viaja frequentemente;3;Mestrado;Baixo;H;Casado;9699;4;Não;11;1;16;2;Muito bom;13;9;1;12
361;Não;57;Viaja raramente;1;Mestrado;Muito Alto;H;Casado;6755;2;Não;11;0;15;2;Muito bom;3;2;1;2
362;Não;40;Viaja raramente;10;Mestrado;Muito Alto;M;Casado;2213;3;Sim;13;1;10;3;Muito bom;7;7;1;7
363;Não;21;Não viaja;9;Ensino Técnico;Baixo;H;Solteiro;2610;1;Não;24;0;3;3;Bom;3;2;2;2
364;Sim;33;Viaja raramente;5;Ensino Superior;Muito Alto;M;Solteiro;2851;1;Sim;13;0;1;2;Muito bom;1;0;0;0
365;Não;37;Viaja raramente;10;Ensino Superior;Alto;M;Casado;3452;6;Não;20;1;17;3;Muito bom;5;4;0;3
366;Não;46;Não viaja;7;Mestrado;Alto;M;Casado;5258;2;Não;14;0;7;2;Excelente;1;0;0;0
367;Sim;41;Viaja frequentemente;4;Ensino Superior;Baixo;H;Solteiro;9355;1;Não;18;0;8;5;Muito bom;8;7;7;7
368;Não;50;Viaja raramente;10;Ensino Superior;Muito Alto;H;Solteiro;10496;6;Não;15;0;20;2;Muito bom;4;3;1;3
369;Sim;40;Viaja raramente;22;Ensino Técnico;Alto;H;Casado;6380;2;Sim;12;2;8;6;Muito bom;6;4;1;0
370;Não;31;Viaja raramente;9;Mestrado;Alto;H;Solteiro;2657;0;Sim;16;0;3;5;Muito bom;2;2;2;2
371;Sim;21;Viaja raramente;12;Ensino Superior;Alto;M;Solteiro;2716;1;Não;15;0;1;0;Muito bom;1;0;0;0
372;Não;29;Viaja raramente;23;Ensino Superior;Muito Alto;H;Solteiro;2201;9;Não;16;0;6;4;Muito bom;3;2;1;2
373;Não;35;Viaja raramente;9;Mestrado;Alto;H;Solteiro;6540;9;Não;19;0;10;5;Muito bom;1;1;0;0
374;Não;27;Viaja raramente;1;Ensino Técnico;Muito Alto;H;Divorciado;3816;1;Não;11;1;5;2;Muito bom;5;2;0;4
375;Não;28;Viaja raramente;9;Mestrado;Médio;H;Solteiro;5253;1;Não;16;0;7;1;Muito bom;7;5;0;7
376;Não;49;Viaja raramente;7;Ensino Superior;Médio;H;Solteiro;10965;8;Não;24;0;26;2;Muito bom;5;2;0;0
377;Não;51;Viaja raramente;14;Ensino Técnico;Alto;M;Casado;4936;4;Não;11;1;18;2;Bom;7;7;0;7
378;Não;36;Viaja raramente;2;Ensino Superior;Muito Alto;M;Casado;2543;4;Não;13;1;6;3;Muito bom;2;2;2;2
379;Sim;34;Não viaja;19;Ensino Superior;Baixo;H;Solteiro;5304;8;Sim;13;0;9;3;Bom;5;2;0;4
380;Não;55;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;16659;2;Sim;13;0;30;2;Muito bom;5;4;1;2
381;Não;24;Viaja raramente;10;Mestrado;Muito Alto;M;Divorciado;4260;1;Sim;12;1;5;2;Excelente;5;2;0;3
382;Não;30;Viaja raramente;2;Ensino Médio;Alto;H;Casado;2476;1;Não;18;1;1;3;Muito bom;1;0;0;0
383;Sim;26;Viaja frequentemente;3;Ensino Médio;Alto;H;Solteiro;3102;0;Não;22;0;7;2;Muito bom;6;4;0;4
384;Não;22;Viaja raramente;11;Ensino Superior;Baixo;M;Casado;2244;1;Não;13;1;2;1;Muito bom;2;1;1;2
385;Não;36;Viaja raramente;2;Ensino Técnico;Médio;H;Casado;7596;1;Não;13;2;10;2;Muito bom;10;9;9;0
386;Sim;30;Viaja frequentemente;4;Ensino Superior;Alto;H;Solteiro;2285;9;Sim;23;0;3;4;Muito bom;1;0;0;0
387;Não;37;Viaja raramente;14;Ensino Superior;Muito Alto;M;Divorciado;3034;1;Não;12;1;18;2;Bom;18;7;12;17
388;Não;40;Viaja raramente;2;Ensino Técnico;Muito Alto;M;Divorciado;5715;7;Não;12;2;8;5;Muito bom;5;4;1;3
389;Não;42;Viaja raramente;1;Mestrado;Médio;M;Divorciado;2576;3;Não;16;1;8;5;Muito bom;5;2;1;2
390;Não;37;Viaja raramente;10;Mestrado;Alto;H;Solteiro;4197;2;Sim;12;0;18;2;Bom;1;0;0;1
391;Não;43;Viaja raramente;12;Ensino Superior;Baixo;H;Divorciado;14336;1;Não;11;1;25;3;Muito bom;25;10;3;9
392;Não;40;Viaja raramente;2;Ensino Superior;Médio;M;Casado;3448;6;Não;22;1;20;3;Muito bom;1;0;0;0
393;Não;54;Viaja raramente;5;Ensino Técnico;Baixo;H;Casado;19406;4;Não;11;1;24;4;Bom;4;2;1;2
394;Não;34;Não viaja;4;Mestrado;Alto;M;Casado;6538;9;Não;15;1;6;3;Muito bom;3;2;1;2
395;Não;31;Viaja raramente;7;Ensino Técnico;Médio;M;Casado;4306;1;Não;12;1;13;5;Ruim;13;10;3;12
396;Não;43;Viaja frequentemente;21;Ensino Superior;Muito Alto;H;Casado;2258;7;Não;20;1;8;1;Muito bom;3;2;1;2
397;Não;43;Viaja raramente;8;Mestrado;Alto;M;Divorciado;4522;4;Sim;14;0;8;3;Muito bom;5;2;0;2
398;Não;25;Viaja raramente;4;Ensino Técnico;Médio;M;Solteiro;4487;1;Sim;11;0;5;3;Muito bom;5;4;1;3
399;Não;37;Não viaja;25;Doutorado;Médio;M;Casado;4449;3;Sim;15;2;15;2;Muito bom;13;11;10;7
400;Não;31;Viaja raramente;1;Ensino Técnico;Muito Alto;H;Casado;2218;1;Não;12;1;4;3;Muito bom;4;2;3;2
401;Não;39;Viaja frequentemente;1;Ensino Médio;Médio;H;Divorciado;19197;1;Sim;14;1;21;3;Muito bom;21;8;1;6
402;Não;56;Viaja frequentemente;6;Ensino Superior;Alto;M;Casado;13212;9;Não;11;3;36;0;Bom;7;7;7;7
403;Não;30;Viaja raramente;12;Ensino Superior;Médio;M;Solteiro;6577;0;Não;11;0;6;6;Muito bom;5;4;4;4
404;Não;41;Viaja raramente;1;Ensino Superior;Médio;H;Casado;8392;1;Não;16;1;10;2;Muito bom;10;7;0;7
405;Não;28;Viaja raramente;17;Ensino Técnico;Alto;H;Divorciado;4558;1;Não;12;1;10;2;Muito bom;10;0;1;8
406;Sim;25;Viaja raramente;3;Ensino Superior;Baixo;H;Casado;4031;5;Não;13;1;6;5;Muito bom;2;2;0;2
407;Não;52;Viaja raramente;3;Ensino Superior;Muito Alto;H;Casado;7969;2;Sim;14;0;28;4;Muito bom;5;4;0;4
408;Não;45;Viaja raramente;10;Ensino Técnico;Baixo;H;Casado;2654;3;Não;21;2;8;3;Bom;2;2;0;2
409;Não;52;Viaja raramente;4;Ensino Técnico;Muito Alto;M;Casado;16555;2;Não;13;0;31;2;Ruim;5;2;1;4
